12	10	E	-8069052.842542486	51
emissionprobs	1	3	H3K36me3	0	0.9999815490410798
emissionprobs	1	3	H3K36me3	1	1.845095892007006E-5
emissionprobs	1	4	H3K4me1	0	0.9993249355684711
emissionprobs	1	4	H3K4me1	1	6.750644315287639E-4
emissionprobs	1	5	H3K4me2	0	0.9999116609328113
emissionprobs	1	5	H3K4me2	1	8.833906718883357E-5
emissionprobs	1	6	H3K4me3	0	0.9999910518735566
emissionprobs	1	6	H3K4me3	1	8.948126443324088E-6
emissionprobs	1	7	H3K79me2	0	0.99999348939966
emissionprobs	1	7	H3K79me2	1	6.5106003399225E-6
emissionprobs	1	8	H3K9ac	0	0.9904553953828683
emissionprobs	1	8	H3K9ac	1	0.009544604617131686
emissionprobs	1	9	H3K9me3	0	0.998686135371849
emissionprobs	1	9	H3K9me3	1	0.0013138646281509424
emissionprobs	2	0	H2AFZ	0	0.996580523499979
emissionprobs	2	0	H2AFZ	1	0.0034194765000209407
emissionprobs	2	1	H3K27ac	0	0.9996054343745556
emissionprobs	2	1	H3K27ac	1	3.945656254443269E-4
emissionprobs	2	2	H3K27me3	0	0.9964103918093392
emissionprobs	2	2	H3K27me3	1	0.003589608190660792
emissionprobs	2	3	H3K36me3	0	0.9988260961911829
emissionprobs	2	3	H3K36me3	1	0.0011739038088170784
emissionprobs	2	4	H3K4me1	0	0.9998796541929466
emissionprobs	2	4	H3K4me1	1	1.203458070534157E-4
emissionprobs	2	5	H3K4me2	0	0.9999716589510751
emissionprobs	2	5	H3K4me2	1	2.834104892496616E-5
emissionprobs	2	6	H3K4me3	0	0.9999971263574472
emissionprobs	2	6	H3K4me3	1	2.873642552808345E-6
emissionprobs	2	7	H3K79me2	0	0.999601612080963
emissionprobs	2	7	H3K79me2	1	3.983879190370076E-4
emissionprobs	2	8	H3K9ac	0	0.9942507186715593
emissionprobs	2	8	H3K9ac	1	0.0057492813284406455
emissionprobs	2	9	H3K9me3	0	0.9958784407536041
emissionprobs	2	9	H3K9me3	1	0.0041215592463958815
emissionprobs	3	0	H2AFZ	0	0.9882695721842232
emissionprobs	3	0	H2AFZ	1	0.011730427815776918
emissionprobs	3	1	H3K27ac	0	0.9924186875654568
emissionprobs	3	1	H3K27ac	1	0.0075813124345433195
emissionprobs	3	2	H3K27me3	0	0.9968157439873929
emissionprobs	3	2	H3K27me3	1	0.0031842560126070264
emissionprobs	3	3	H3K36me3	0	0.9329166743377761
emissionprobs	3	3	H3K36me3	1	0.06708332566222378
emissionprobs	3	4	H3K4me1	0	0.998452374499723
emissionprobs	3	4	H3K4me1	1	0.0015476255002769268
emissionprobs	3	5	H3K4me2	0	0.9997383001723603
emissionprobs	3	5	H3K4me2	1	2.616998276396636E-4
emissionprobs	3	6	H3K4me3	0	0.9844530431006082
emissionprobs	3	6	H3K4me3	1	0.01554695689939174
emissionprobs	3	7	H3K79me2	0	0.9965066453145713
emissionprobs	3	7	H3K79me2	1	0.0034933546854287252
emissionprobs	3	8	H3K9ac	0	0.9952749781652505
emissionprobs	3	8	H3K9ac	1	0.004725021834749531
emissionprobs	3	9	H3K9me3	0	0.49939936263458795
emissionprobs	3	9	H3K9me3	1	0.500600637365412
emissionprobs	4	0	H2AFZ	0	0.9999024383216051
emissionprobs	4	0	H2AFZ	1	9.756167839488454E-5
emissionprobs	4	1	H3K27ac	0	0.9909896593396978
emissionprobs	4	1	H3K27ac	1	0.009010340660302157
emissionprobs	4	2	H3K27me3	0	0.9998966269664771
emissionprobs	4	2	H3K27me3	1	1.0337303352295228E-4
emissionprobs	4	3	H3K36me3	0	0.403479773725626
emissionprobs	4	3	H3K36me3	1	0.5965202262743741
emissionprobs	4	4	H3K4me1	0	0.9986893156115346
emissionprobs	4	4	H3K4me1	1	0.0013106843884653908
emissionprobs	4	5	H3K4me2	0	0.9998517138131544
emissionprobs	4	5	H3K4me2	1	1.4828618684562878E-4
emissionprobs	4	6	H3K4me3	0	0.9999640523013223
emissionprobs	4	6	H3K4me3	1	3.594769867764324E-5
emissionprobs	4	7	H3K79me2	0	0.9823554325169572
emissionprobs	4	7	H3K79me2	1	0.01764456748304278
emissionprobs	4	8	H3K9ac	0	0.981253109244298
emissionprobs	4	8	H3K9ac	1	0.01874689075570198
emissionprobs	4	9	H3K9me3	0	0.9942793146823502
emissionprobs	4	9	H3K9me3	1	0.005720685317649793
emissionprobs	5	0	H2AFZ	0	0.9998085437357158
emissionprobs	5	0	H2AFZ	1	1.9145626428418382E-4
emissionprobs	5	1	H3K27ac	0	0.9403524749248134
emissionprobs	5	1	H3K27ac	1	0.059647525075186454
emissionprobs	5	2	H3K27me3	0	0.9999856641599485
emissionprobs	5	2	H3K27me3	1	1.433584005148934E-5
emissionprobs	5	3	H3K36me3	0	0.1441509104270904
emissionprobs	5	3	H3K36me3	1	0.8558490895729096
emissionprobs	5	4	H3K4me1	0	0.9555926767958581
emissionprobs	5	4	H3K4me1	1	0.04440732320414187
emissionprobs	5	5	H3K4me2	0	0.9837318721209841
emissionprobs	5	5	H3K4me2	1	0.016268127879015843
emissionprobs	5	6	H3K4me3	0	0.9978967631066079
emissionprobs	5	6	H3K4me3	1	0.002103236893392161
emissionprobs	5	7	H3K79me2	0	0.18301928223814448
emissionprobs	5	7	H3K79me2	1	0.8169807177618555
emissionprobs	5	8	H3K9ac	0	0.9595794922713422
emissionprobs	5	8	H3K9ac	1	0.040420507728657726
emissionprobs	5	9	H3K9me3	0	0.9569480041867037
emissionprobs	5	9	H3K9me3	1	0.04305199581329636
